location,room_count,balcony_count,road_facility,rent
Mirpur,3,2,Yes,30000
Mirpur,2,1,Yes,22000
Mirpur,4,2,Yes,42000
Mirpur,3,1,No,26000
Mirpur,2,0,No,18000
Mirpur,5,3,Yes,58000
Mirpur,1,0,Yes,14000
Mirpur,3,2,No,27000
Uttara,3,2,Yes,45000
Uttara,2,1,Yes,32000
Uttara,4,3,Yes,62000
Uttara,3,1,Yes,40000
Uttara,2,0,No,25000
Uttara,5,3,Yes,78000
Uttara,1,1,Yes,20000
Uttara,4,2,No,50000
Uttara,3,2,Yes,48000
Uttara,2,1,No,28000
Dhanmondi,2,1,Yes,35000
Dhanmondi,3,2,Yes,52000
Dhanmondi,4,2,Yes,70000
Dhanmondi,3,1,Yes,45000
Dhanmondi,2,0,No,28000
Dhanmondi,5,3,Yes,95000
Dhanmondi,1,0,Yes,18000
Dhanmondi,3,2,No,40000
Dhanmondi,4,1,Yes,60000
Dhanmondi,2,1,Yes,36000
Mohammadpur,3,1,No,25000
Mohammadpur,2,1,Yes,22000
Mohammadpur,4,2,Yes,38000
Mohammadpur,3,2,Yes,32000
Mohammadpur,2,0,No,18000
Mohammadpur,5,2,Yes,55000
Mohammadpur,1,0,No,12000
Mohammadpur,3,1,Yes,28000
Mohammadpur,4,1,No,33000
Mohammadpur,2,0,Yes,20000
Gulshan,3,2,Yes,75000
Gulshan,4,3,Yes,110000
Gulshan,2,1,Yes,52000
Gulshan,5,3,Yes,145000
Gulshan,3,1,Yes,65000
Gulshan,4,2,Yes,95000
Gulshan,2,0,Yes,40000
Gulshan,3,2,No,60000
Gulshan,6,3,Yes,170000
Gulshan,4,1,Yes,85000
Banani,3,2,Yes,70000
Banani,4,2,Yes,100000
Banani,2,1,Yes,48000
Banani,5,3,Yes,135000
Banani,3,1,Yes,60000
Banani,4,3,Yes,115000
Banani,2,0,Yes,38000
Banani,3,2,No,55000
Banani,4,1,Yes,80000
Banani,2,1,No,42000
Bashundhara,3,2,Yes,40000
Bashundhara,4,2,Yes,58000
Bashundhara,2,1,Yes,28000
Bashundhara,5,3,Yes,80000
Bashundhara,3,1,No,33000
Bashundhara,4,1,Yes,52000
Bashundhara,2,0,No,22000
Bashundhara,3,2,Yes,42000
Bashundhara,4,2,No,50000
Bashundhara,2,1,Yes,30000
Rampura,2,1,Yes,20000
Rampura,3,1,No,22000
Rampura,3,2,Yes,28000
Rampura,2,0,No,15000
Rampura,4,2,Yes,36000
Rampura,1,0,No,10000
Rampura,3,1,Yes,25000
Rampura,4,1,No,30000
Rampura,2,1,Yes,22000
Rampura,3,2,No,24000
Badda,2,1,Yes,18000
Badda,3,1,No,20000
Badda,3,2,Yes,26000
Badda,2,0,No,14000
Badda,4,2,Yes,34000
Badda,1,0,No,9000
Badda,3,1,Yes,22000
Badda,4,1,No,28000
Badda,2,0,Yes,16000
Badda,3,2,No,22000
Khilgaon,2,1,Yes,19000
Khilgaon,3,1,No,21000
Khilgaon,3,2,Yes,27000
Khilgaon,2,0,No,15000
Khilgaon,4,2,Yes,35000
Khilgaon,1,0,No,10000
Khilgaon,3,1,Yes,23000
Khilgaon,4,1,No,29000
Khilgaon,2,1,Yes,20000
Khilgaon,3,0,Yes,24000
